#           k/h    P           
    0.24835E+01    0.63200E-02
    0.25336E+01    0.60178E-02
    0.25848E+01    0.57298E-02
    0.26370E+01    0.54552E-02
    0.26903E+01    0.51935E-02
    0.27447E+01    0.49441E-02
    0.28001E+01    0.47063E-02
    0.28567E+01    0.44798E-02
    0.29144E+01    0.42639E-02
    0.29733E+01    0.40582E-02
    0.30333E+01    0.38622E-02
    0.30946E+01    0.36755E-02
    0.31571E+01    0.34976E-02
    0.32209E+01    0.33282E-02
    0.32860E+01    0.31667E-02
    0.33523E+01    0.30130E-02
    0.34201E+01    0.28666E-02
    0.34892E+01    0.27271E-02
    0.35596E+01    0.25943E-02
    0.36316E+01    0.24679E-02
    0.37049E+01    0.23475E-02
    0.37798E+01    0.22328E-02
    0.38561E+01    0.21237E-02
    0.39340E+01    0.20197E-02
    0.40135E+01    0.19208E-02
    0.40946E+01    0.18267E-02
    0.41773E+01    0.17370E-02
    0.42617E+01    0.16517E-02
    0.43478E+01    0.15705E-02
    0.44356E+01    0.14932E-02
    0.45252E+01    0.14197E-02
    0.46166E+01    0.13497E-02
    0.47099E+01    0.12831E-02
    0.48050E+01    0.12198E-02
    0.49021E+01    0.11595E-02
    0.50011E+01    0.11021E-02
    0.51021E+01    0.10476E-02
    0.52052E+01    0.99566E-03
    0.53104E+01    0.94628E-03
    0.54176E+01    0.89932E-03
    0.55271E+01    0.85465E-03
    0.56387E+01    0.81216E-03
    0.57526E+01    0.77176E-03
    0.58689E+01    0.73333E-03
    0.59874E+01    0.69679E-03
    0.61084E+01    0.66204E-03
    0.62318E+01    0.62900E-03
    0.63577E+01    0.59758E-03
    0.64861E+01    0.56771E-03
    0.66171E+01    0.53931E-03
    0.67508E+01    0.51231E-03
    0.68872E+01    0.48665E-03
    0.70263E+01    0.46225E-03
    0.71682E+01    0.43905E-03
    0.73130E+01    0.41701E-03
    0.74608E+01    0.39606E-03
    0.76115E+01    0.37614E-03
    0.77653E+01    0.35722E-03
    0.79221E+01    0.33923E-03
    0.80822E+01    0.32214E-03
    0.82454E+01    0.30589E-03
    0.84120E+01    0.29046E-03
    0.85819E+01    0.27579E-03
    0.87553E+01    0.26186E-03
    0.89322E+01    0.24862E-03
    0.91126E+01    0.23604E-03
    0.92967E+01    0.22409E-03
    0.94845E+01    0.21274E-03
    0.96761E+01    0.20195E-03
    0.98716E+01    0.19171E-03
    0.10071E+02    0.18198E-03
    0.10274E+02    0.17273E-03
    0.10482E+02    0.16395E-03
    0.10694E+02    0.15562E-03
    0.10910E+02    0.14770E-03
    0.11130E+02    0.14018E-03
    0.11355E+02    0.13303E-03
    0.11584E+02    0.12625E-03
    0.11818E+02    0.11981E-03
    0.12057E+02    0.11370E-03
    0.12301E+02    0.10789E-03
    0.12549E+02    0.10238E-03
    0.12803E+02    0.97142E-04
    0.13061E+02    0.92172E-04
    0.13325E+02    0.87453E-04
    0.13594E+02    0.82974E-04
    0.13869E+02    0.78721E-04
    0.14149E+02    0.74684E-04
    0.14435E+02    0.70852E-04
    0.14727E+02    0.67215E-04
    0.15024E+02    0.63763E-04
    0.15328E+02    0.60486E-04
    0.15637E+02    0.57375E-04
    0.15953E+02    0.54424E-04
    0.16275E+02    0.51622E-04
    0.16604E+02    0.48963E-04
    0.16940E+02    0.46440E-04
    0.17282E+02    0.44046E-04
    0.17631E+02    0.41774E-04
    0.17987E+02    0.39618E-04
    0.18351E+02    0.37572E-04
    0.18721E+02    0.35631E-04
    0.19099E+02    0.33789E-04
    0.19485E+02    0.32041E-04
    0.19879E+02    0.30383E-04
    0.20280E+02    0.28810E-04
    0.20690E+02    0.27318E-04
    0.21108E+02    0.25902E-04
    0.21535E+02    0.24559E-04
    0.21970E+02    0.23286E-04
    0.22413E+02    0.22077E-04
    0.22866E+02    0.20931E-04
    0.23328E+02    0.19843E-04
    0.23799E+02    0.18812E-04
    0.24280E+02    0.17834E-04
    0.24771E+02    0.16906E-04
    0.25271E+02    0.16026E-04
    0.25782E+02    0.15192E-04
    0.26302E+02    0.14401E-04
    0.26834E+02    0.13650E-04
    0.27376E+02    0.12938E-04
    0.27929E+02    0.12263E-04
    0.28493E+02    0.11623E-04
    0.29069E+02    0.11016E-04
    0.29656E+02    0.10441E-04
    0.30255E+02    0.98954E-05
    0.30866E+02    0.93780E-05
    0.31490E+02    0.88875E-05
    0.32126E+02    0.84224E-05
    0.32775E+02    0.79815E-05
    0.33437E+02    0.75635E-05
    0.34112E+02    0.71672E-05
    0.34801E+02    0.67915E-05
    0.35504E+02    0.64353E-05
    0.36222E+02    0.60977E-05
    0.36953E+02    0.57776E-05
    0.37700E+02    0.54742E-05
    0.38462E+02    0.51866E-05
    0.39239E+02    0.49141E-05
    0.40031E+02    0.46557E-05
    0.40840E+02    0.44108E-05
    0.41665E+02    0.41787E-05
    0.42507E+02    0.39587E-05
    0.43365E+02    0.37502E-05
    0.44241E+02    0.35526E-05
    0.45135E+02    0.33654E-05
    0.46047E+02    0.31879E-05
    0.46977E+02    0.30197E-05
    0.47926E+02    0.28604E-05
    0.48894E+02    0.27094E-05
    0.49882E+02    0.25662E-05
    0.50890E+02    0.24306E-05
    0.51918E+02    0.23021E-05
    0.52966E+02    0.21804E-05
    0.54036E+02    0.20650E-05
    0.55128E+02    0.19557E-05
    0.56242E+02    0.18522E-05
    0.57378E+02    0.17541E-05
    0.58537E+02    0.16611E-05
    0.59720E+02    0.15730E-05
    0.60926E+02    0.14896E-05
    0.62157E+02    0.14106E-05
    0.63412E+02    0.13357E-05
    0.64693E+02    0.12647E-05
    0.66000E+02    0.11975E-05
    0.67334E+02    0.11339E-05
    0.68694E+02    0.10736E-05
    0.70082E+02    0.10165E-05
    0.71497E+02    0.96238E-06
    0.72942E+02    0.91114E-06
    0.74415E+02    0.86260E-06
    0.75918E+02    0.81663E-06
    0.77452E+02    0.77310E-06
    0.79017E+02    0.73186E-06
    0.80613E+02    0.69280E-06
    0.82241E+02    0.65582E-06
    0.83903E+02    0.62079E-06
    0.85598E+02    0.58762E-06
    0.87327E+02    0.55620E-06
    0.89091E+02    0.52645E-06
    0.90891E+02    0.49828E-06
    0.92727E+02    0.47160E-06
    0.94600E+02    0.44634E-06
    0.96511E+02    0.42242E-06
    0.98461E+02    0.39978E-06
    0.10045E+03    0.37833E-06
    0.10248E+03    0.35803E-06
    0.10455E+03    0.33880E-06
    0.10666E+03    0.32060E-06
    0.10882E+03    0.30336E-06
    0.11101E+03    0.28705E-06
    0.11326E+03    0.27160E-06
    0.11554E+03    0.25698E-06
    0.11788E+03    0.24313E-06
    0.12026E+03    0.23003E-06
    0.12269E+03    0.21762E-06
    0.12517E+03    0.20588E-06
    0.12770E+03    0.19476E-06
    0.13028E+03    0.18424E-06
    0.13291E+03    0.17428E-06
    0.13559E+03    0.16485E-06
    0.13833E+03    0.15592E-06
    0.14113E+03    0.14748E-06
    0.14398E+03    0.13948E-06
    0.14689E+03    0.13192E-06
    0.14985E+03    0.12476E-06
    0.15288E+03    0.11798E-06
    0.15597E+03    0.11157E-06
    0.15912E+03    0.10550E-06
    0.16233E+03    0.99754E-07
    0.16561E+03    0.94319E-07
    0.16896E+03    0.89176E-07
    0.17237E+03    0.84310E-07
    0.17585E+03    0.79705E-07
    0.17941E+03    0.75348E-07
    0.18303E+03    0.71226E-07
    0.18673E+03    0.67326E-07
    0.19050E+03    0.63636E-07
    0.19435E+03    0.60145E-07
    0.19828E+03    0.56843E-07
    0.20228E+03    0.53719E-07
    0.20637E+03    0.50763E-07
    0.21054E+03    0.47968E-07
    0.21479E+03    0.45323E-07
    0.21913E+03    0.42822E-07
    0.22356E+03    0.40456E-07
    0.22807E+03    0.38219E-07
    0.23268E+03    0.36102E-07
    0.23738E+03    0.34101E-07
    0.24217E+03    0.32209E-07
    0.24707E+03    0.30419E-07
    0.25206E+03    0.28727E-07
    0.25715E+03    0.27126E-07
    0.26234E+03    0.25613E-07
    0.26764E+03    0.24183E-07
    0.27305E+03    0.22831E-07
    0.27857E+03    0.21552E-07
    0.28419E+03    0.20343E-07
    0.28994E+03    0.19201E-07
    0.29579E+03    0.18121E-07
    0.30177E+03    0.17101E-07
    0.30786E+03    0.16136E-07
    0.31408E+03    0.15225E-07
    0.32043E+03    0.14363E-07
    0.32690E+03    0.13549E-07
    0.33351E+03    0.12780E-07
    0.34024E+03    0.12054E-07
    0.34712E+03    0.11368E-07
    0.35413E+03    0.10719E-07
    0.36128E+03    0.10107E-07
    0.36858E+03    0.95289E-08
    0.37603E+03    0.89828E-08
    0.38362E+03    0.84671E-08
    0.39137E+03    0.79802E-08
    0.39928E+03    0.75206E-08
    0.40734E+03    0.70866E-08
    0.41557E+03    0.66771E-08
    0.42397E+03    0.62905E-08
    0.43253E+03    0.59257E-08
    0.44127E+03    0.55816E-08
    0.45019E+03    0.52569E-08
    0.45928E+03    0.49506E-08
    0.46856E+03    0.46616E-08
    0.47802E+03    0.43890E-08
    0.48768E+03    0.41320E-08
    0.49753E+03    0.38898E-08
