#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.980767E-02   0.152812E+08   0.152708E+08  -0.329940E+04  -0.336567E+04   0.800765E+07   0.152182E+08   0.152795E+08   0.152182E+08  -0.352538E+00   0.756394E+07   0.756385E+07   0.303844E+01
   0.991725E-02   0.152300E+08   0.152194E+08  -0.290991E+04  -0.316299E+04   0.793153E+07   0.151667E+08   0.152283E+08   0.151667E+08  -0.351345E+00   0.753843E+07   0.753834E+07   0.306020E+01
   0.100281E-01   0.151783E+08   0.151675E+08  -0.289847E+04  -0.326196E+04   0.785551E+07   0.151148E+08   0.151766E+08   0.151148E+08  -0.350143E+00   0.751271E+07   0.751262E+07   0.308201E+01
   0.101401E-01   0.151263E+08   0.151152E+08  -0.323056E+04  -0.346922E+04   0.777960E+07   0.150626E+08   0.151245E+08   0.150625E+08  -0.348932E+00   0.748680E+07   0.748670E+07   0.310385E+01
   0.102534E-01   0.150738E+08   0.150625E+08  -0.344547E+04  -0.347659E+04   0.770380E+07   0.150098E+08   0.150720E+08   0.150098E+08  -0.347711E+00   0.746068E+07   0.746058E+07   0.312572E+01
   0.103680E-01   0.150209E+08   0.150094E+08  -0.316588E+04  -0.320573E+04   0.762814E+07   0.149567E+08   0.150190E+08   0.149567E+08  -0.346480E+00   0.743436E+07   0.743426E+07   0.314762E+01
   0.104838E-01   0.149676E+08   0.149559E+08  -0.255719E+04  -0.289858E+04   0.755260E+07   0.149032E+08   0.149657E+08   0.149032E+08  -0.345240E+00   0.740783E+07   0.740773E+07   0.316954E+01
   0.106009E-01   0.149139E+08   0.149019E+08  -0.219211E+04  -0.283681E+04   0.747720E+07   0.148492E+08   0.149119E+08   0.148492E+08  -0.343990E+00   0.738109E+07   0.738099E+07   0.319148E+01
   0.107194E-01   0.148597E+08   0.148476E+08  -0.241887E+04  -0.300731E+04   0.740194E+07   0.147949E+08   0.148577E+08   0.147949E+08  -0.342731E+00   0.735415E+07   0.735405E+07   0.321344E+01
   0.108392E-01   0.148052E+08   0.147928E+08  -0.293566E+04  -0.311710E+04   0.732682E+07   0.147401E+08   0.148031E+08   0.147401E+08  -0.341462E+00   0.732701E+07   0.732690E+07   0.323540E+01
   0.109603E-01   0.147502E+08   0.147375E+08  -0.310008E+04  -0.295443E+04   0.725184E+07   0.146849E+08   0.147481E+08   0.146849E+08  -0.340184E+00   0.729965E+07   0.729954E+07   0.325737E+01
   0.110827E-01   0.146948E+08   0.146819E+08  -0.265992E+04  -0.265558E+04   0.717701E+07   0.146293E+08   0.146927E+08   0.146293E+08  -0.338895E+00   0.727209E+07   0.727198E+07   0.327933E+01
   0.112065E-01   0.146389E+08   0.146258E+08  -0.204753E+04  -0.253067E+04   0.710233E+07   0.145733E+08   0.146368E+08   0.145733E+08  -0.337597E+00   0.724432E+07   0.724420E+07   0.330128E+01
   0.113318E-01   0.145827E+08   0.145693E+08  -0.185815E+04  -0.265803E+04   0.702780E+07   0.145168E+08   0.145805E+08   0.145168E+08  -0.336290E+00   0.721633E+07   0.721622E+07   0.332322E+01
   0.114584E-01   0.145260E+08   0.145124E+08  -0.213451E+04  -0.277936E+04   0.695342E+07   0.144600E+08   0.145238E+08   0.144600E+08  -0.334972E+00   0.718814E+07   0.718802E+07   0.334514E+01
   0.115864E-01   0.144689E+08   0.144550E+08  -0.235438E+04  -0.265071E+04   0.687920E+07   0.144027E+08   0.144666E+08   0.144027E+08  -0.333645E+00   0.715973E+07   0.715962E+07   0.336703E+01
   0.117159E-01   0.144113E+08   0.143972E+08  -0.213507E+04  -0.238060E+04   0.680515E+07   0.143449E+08   0.144090E+08   0.143449E+08  -0.332308E+00   0.713112E+07   0.713100E+07   0.338888E+01
