#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103680E-01   0.340213E+06   0.333166E+06   0.110203E+05   0.106499E+05   0.121959E+06   0.333716E+06   0.339284E+06   0.333794E+06  -0.484054E+00   0.334621E+06   0.333663E+06   0.130108E+03
   0.104838E-01   0.339260E+06   0.332071E+06   0.103656E+05   0.102740E+05   0.120534E+06   0.332732E+06   0.338312E+06   0.332806E+06  -0.482612E+00   0.333641E+06   0.332665E+06   0.131074E+03
   0.106009E-01   0.338298E+06   0.330965E+06   0.976204E+04   0.994540E+04   0.119115E+06   0.331740E+06   0.337331E+06   0.331810E+06  -0.481158E+00   0.332652E+06   0.331658E+06   0.132042E+03
   0.107194E-01   0.337327E+06   0.329847E+06   0.921385E+04   0.966345E+04   0.117702E+06   0.330739E+06   0.336341E+06   0.330805E+06  -0.479691E+00   0.331655E+06   0.330643E+06   0.133012E+03
   0.108392E-01   0.336347E+06   0.328718E+06   0.872455E+04   0.942662E+04   0.116294E+06   0.329729E+06   0.335341E+06   0.329791E+06  -0.478211E+00   0.330649E+06   0.329618E+06   0.133983E+03
   0.109603E-01   0.335358E+06   0.327578E+06   0.829668E+04   0.923261E+04   0.114891E+06   0.328710E+06   0.334332E+06   0.328769E+06  -0.476719E+00   0.329634E+06   0.328584E+06   0.134955E+03
   0.110827E-01   0.334360E+06   0.326425E+06   0.793173E+04   0.907828E+04   0.113492E+06   0.327682E+06   0.333314E+06   0.327739E+06  -0.475215E+00   0.328611E+06   0.327542E+06   0.135928E+03
   0.112065E-01   0.333354E+06   0.325262E+06   0.763014E+04   0.895979E+04   0.112097E+06   0.326645E+06   0.332287E+06   0.326700E+06  -0.473698E+00   0.327579E+06   0.326490E+06   0.136902E+03
   0.113318E-01   0.332338E+06   0.324086E+06   0.739123E+04   0.887262E+04   0.110706E+06   0.325600E+06   0.331250E+06   0.325652E+06  -0.472168E+00   0.326538E+06   0.325429E+06   0.137877E+03
   0.114584E-01   0.331314E+06   0.322899E+06   0.721317E+04   0.881168E+04   0.109319E+06   0.324545E+06   0.330204E+06   0.324596E+06  -0.470625E+00   0.325489E+06   0.324359E+06   0.138852E+03
   0.115864E-01   0.330280E+06   0.321700E+06   0.709301E+04   0.877142E+04   0.107935E+06   0.323481E+06   0.329149E+06   0.323531E+06  -0.469070E+00   0.324430E+06   0.323280E+06   0.139827E+03
   0.117159E-01   0.329237E+06   0.320489E+06   0.702672E+04   0.874596E+04   0.106556E+06   0.322408E+06   0.328084E+06   0.322458E+06  -0.467502E+00   0.323362E+06   0.322192E+06   0.140802E+03
   0.118468E-01   0.328185E+06   0.319266E+06   0.700924E+04   0.872923E+04   0.105181E+06   0.321326E+06   0.327009E+06   0.321376E+06  -0.465922E+00   0.322286E+06   0.321094E+06   0.141777E+03
   0.119791E-01   0.327125E+06   0.318031E+06   0.703455E+04   0.871511E+04   0.103810E+06   0.320235E+06   0.325925E+06   0.320285E+06  -0.464329E+00   0.321200E+06   0.319987E+06   0.142751E+03
   0.121130E-01   0.326054E+06   0.316784E+06   0.709582E+04   0.869763E+04   0.102443E+06   0.319134E+06   0.324832E+06   0.319185E+06  -0.462723E+00   0.320106E+06   0.318870E+06   0.143724E+03
   0.122483E-01   0.324975E+06   0.315525E+06   0.718550E+04   0.867107E+04   0.101081E+06   0.318025E+06   0.323729E+06   0.318076E+06  -0.461104E+00   0.319002E+06   0.317744E+06   0.144696E+03
   0.123852E-01   0.323887E+06   0.314254E+06   0.729552E+04   0.863017E+04   0.997244E+05   0.316906E+06   0.322617E+06   0.316958E+06  -0.459473E+00   0.317889E+06   0.316609E+06   0.145667E+03
   0.125235E-01   0.322789E+06   0.312971E+06   0.741746E+04   0.857028E+04   0.983732E+05   0.315778E+06   0.321495E+06   0.315831E+06  -0.457829E+00   0.316767E+06   0.315464E+06   0.146636E+03
   0.126635E-01   0.321682E+06   0.311676E+06   0.754274E+04   0.848749E+04   0.970278E+05   0.314641E+06   0.320363E+06   0.314695E+06  -0.456172E+00   0.315636E+06   0.314309E+06   0.147603E+03
   0.128049E-01   0.320566E+06   0.310368E+06   0.766282E+04   0.837875E+04   0.956890E+05   0.313494E+06   0.319222E+06   0.313549E+06  -0.454502E+00   0.314496E+06   0.313145E+06   0.148568E+03
   0.129480E-01   0.319441E+06   0.309048E+06   0.776946E+04   0.824199E+04   0.943570E+05   0.312339E+06   0.318070E+06   0.312394E+06  -0.452819E+00   0.313346E+06   0.311972E+06   0.149530E+03
   0.130927E-01   0.318306E+06   0.307715E+06   0.785490E+04   0.807621E+04   0.930325E+05   0.311174E+06   0.316910E+06   0.311230E+06  -0.451122E+00   0.312187E+06   0.310788E+06   0.150489E+03
   0.132390E-01   0.317162E+06   0.306370E+06   0.791211E+04   0.788149E+04   0.917160E+05   0.310000E+06   0.315739E+06   0.310056E+06  -0.449413E+00   0.311019E+06   0.309596E+06   0.151445E+03
