#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   148    0.47046E+04   -0.52103E+02    0.18979E-05   -0.52103E+02    0.12853E+01   -0.90526E-08    0.18979E-05   -0.90526E-08    0.44657E-11
   149    0.47402E+04   -0.52138E+02    0.18697E-05   -0.52138E+02    0.12785E+01   -0.89154E-08    0.18697E-05   -0.89154E-08    0.43841E-11
   150    0.47756E+04   -0.52142E+02    0.18420E-05   -0.52142E+02    0.12713E+01   -0.87787E-08    0.18420E-05   -0.87787E-08    0.43043E-11
   151    0.48107E+04   -0.52119E+02    0.18149E-05   -0.52119E+02    0.12635E+01   -0.86425E-08    0.18149E-05   -0.86425E-08    0.42264E-11
   152    0.48455E+04   -0.52068E+02    0.17882E-05   -0.52068E+02    0.12551E+01   -0.85069E-08    0.17882E-05   -0.85069E-08    0.41503E-11
   153    0.48801E+04   -0.51985E+02    0.17621E-05   -0.51985E+02    0.12463E+01   -0.83719E-08    0.17621E-05   -0.83719E-08    0.40759E-11
   154    0.49144E+04   -0.51873E+02    0.17365E-05   -0.51873E+02    0.12370E+01   -0.82374E-08    0.17365E-05   -0.82374E-08    0.40033E-11
   155    0.49484E+04   -0.51731E+02    0.17113E-05   -0.51731E+02    0.12273E+01   -0.81035E-08    0.17113E-05   -0.81035E-08    0.39323E-11
   156    0.49820E+04   -0.51560E+02    0.16866E-05   -0.51560E+02    0.12172E+01   -0.79701E-08    0.16866E-05   -0.79701E-08    0.38630E-11
   157    0.50155E+04   -0.51358E+02    0.16624E-05   -0.51358E+02    0.12066E+01   -0.78373E-08    0.16624E-05   -0.78373E-08    0.37953E-11
   158    0.50486E+04   -0.51125E+02    0.16386E-05   -0.51125E+02    0.11957E+01   -0.77051E-08    0.16386E-05   -0.77051E-08    0.37291E-11
   159    0.50813E+04   -0.50861E+02    0.16153E-05   -0.50861E+02    0.11843E+01   -0.75735E-08    0.16153E-05   -0.75735E-08    0.36644E-11
   160    0.51137E+04   -0.50565E+02    0.15923E-05   -0.50565E+02    0.11725E+01   -0.74425E-08    0.15923E-05   -0.74425E-08    0.36011E-11
   161    0.51458E+04   -0.50238E+02    0.15698E-05   -0.50238E+02    0.11605E+01   -0.73121E-08    0.15698E-05   -0.73121E-08    0.35393E-11
   162    0.51775E+04   -0.49881E+02    0.15477E-05   -0.49881E+02    0.11482E+01   -0.71823E-08    0.15477E-05   -0.71823E-08    0.34788E-11
   163    0.52089E+04   -0.49492E+02    0.15260E-05   -0.49492E+02    0.11355E+01   -0.70531E-08    0.15260E-05   -0.70531E-08    0.34197E-11
   164    0.52398E+04   -0.49071E+02    0.15047E-05   -0.49071E+02    0.11225E+01   -0.69245E-08    0.15047E-05   -0.69245E-08    0.33619E-11
   165    0.52705E+04   -0.48618E+02    0.14837E-05   -0.48618E+02    0.11093E+01   -0.67965E-08    0.14837E-05   -0.67965E-08    0.33053E-11
   166    0.53007E+04   -0.48133E+02    0.14631E-05   -0.48133E+02    0.10959E+01   -0.66692E-08    0.14631E-05   -0.66692E-08    0.32500E-11
   167    0.53306E+04   -0.47617E+02    0.14428E-05   -0.47617E+02    0.10822E+01   -0.65424E-08    0.14428E-05   -0.65424E-08    0.31958E-11
   168    0.53599E+04   -0.47069E+02    0.14229E-05   -0.47069E+02    0.10684E+01   -0.64163E-08    0.14229E-05   -0.64163E-08    0.31427E-11
   169    0.53888E+04   -0.46487E+02    0.14033E-05   -0.46487E+02    0.10544E+01   -0.62909E-08    0.14033E-05   -0.62909E-08    0.30908E-11
   170    0.54173E+04   -0.45875E+02    0.13841E-05   -0.45875E+02    0.10404E+01   -0.61661E-08    0.13841E-05   -0.61661E-08    0.30400E-11
   171    0.54453E+04   -0.45228E+02    0.13652E-05   -0.45228E+02    0.10263E+01   -0.60419E-08    0.13652E-05   -0.60419E-08    0.29903E-11
   172    0.54727E+04   -0.44550E+02    0.13466E-05   -0.44550E+02    0.10121E+01   -0.59184E-08    0.13466E-05   -0.59184E-08    0.29416E-11
   173    0.54996E+04   -0.43841E+02    0.13283E-05   -0.43841E+02    0.99787E+00   -0.57955E-08    0.13283E-05   -0.57955E-08    0.28940E-11
   174    0.55261E+04   -0.43099E+02    0.13103E-05   -0.43099E+02    0.98382E+00   -0.56733E-08    0.13103E-05   -0.56733E-08    0.28474E-11
   175    0.55520E+04   -0.42326E+02    0.12926E-05   -0.42326E+02    0.96969E+00   -0.55517E-08    0.12926E-05   -0.55517E-08    0.28017E-11
   176    0.55774E+04   -0.41520E+02    0.12753E-05   -0.41520E+02    0.95573E+00   -0.54308E-08    0.12753E-05   -0.54308E-08    0.27570E-11
