#           k/h    P           
    0.23268E+03    0.56517E-06
    0.23738E+03    0.53338E-06
    0.24217E+03    0.50333E-06
    0.24707E+03    0.47493E-06
    0.25206E+03    0.44808E-06
    0.25715E+03    0.42271E-06
    0.26234E+03    0.39873E-06
    0.26764E+03    0.37607E-06
    0.27305E+03    0.35466E-06
    0.27857E+03    0.33444E-06
    0.28419E+03    0.31533E-06
    0.28994E+03    0.29728E-06
    0.29579E+03    0.28022E-06
    0.30177E+03    0.26412E-06
    0.30786E+03    0.24891E-06
    0.31408E+03    0.23455E-06
    0.32043E+03    0.22099E-06
    0.32690E+03    0.20818E-06
    0.33351E+03    0.19610E-06
    0.34024E+03    0.18469E-06
    0.34712E+03    0.17392E-06
    0.35413E+03    0.16376E-06
    0.36128E+03    0.15417E-06
    0.36858E+03    0.14513E-06
    0.37603E+03    0.13659E-06
    0.38362E+03    0.12854E-06
    0.39137E+03    0.12096E-06
    0.39928E+03    0.11380E-06
    0.40734E+03    0.10705E-06
    0.41557E+03    0.10069E-06
    0.42397E+03    0.94696E-07
    0.43253E+03    0.89048E-07
    0.44127E+03    0.83727E-07
    0.45019E+03    0.78714E-07
    0.45928E+03    0.73991E-07
    0.46856E+03    0.69543E-07
    0.47802E+03    0.65354E-07
    0.48768E+03    0.61412E-07
    0.49753E+03    0.57704E-07
