#           k/h    P           
    0.14149E+02    0.30649E-04
    0.14435E+02    0.29056E-04
    0.14727E+02    0.27545E-04
    0.15024E+02    0.26111E-04
    0.15328E+02    0.24752E-04
    0.15637E+02    0.23463E-04
    0.15953E+02    0.22240E-04
    0.16275E+02    0.21081E-04
    0.16604E+02    0.19982E-04
    0.16940E+02    0.18939E-04
    0.17282E+02    0.17950E-04
    0.17631E+02    0.17013E-04
    0.17987E+02    0.16124E-04
    0.18351E+02    0.15281E-04
    0.18721E+02    0.14482E-04
    0.19099E+02    0.13724E-04
    0.19485E+02    0.13006E-04
    0.19879E+02    0.12325E-04
    0.20280E+02    0.11679E-04
    0.20690E+02    0.11067E-04
    0.21108E+02    0.10487E-04
    0.21535E+02    0.99370E-05
    0.21970E+02    0.94156E-05
    0.22413E+02    0.89213E-05
    0.22866E+02    0.84528E-05
    0.23328E+02    0.80087E-05
    0.23799E+02    0.75877E-05
    0.24280E+02    0.71887E-05
    0.24771E+02    0.68106E-05
    0.25271E+02    0.64522E-05
    0.25782E+02    0.61125E-05
    0.26302E+02    0.57905E-05
    0.26834E+02    0.54854E-05
    0.27376E+02    0.51963E-05
    0.27929E+02    0.49222E-05
    0.28493E+02    0.46626E-05
    0.29069E+02    0.44165E-05
    0.29656E+02    0.41833E-05
    0.30255E+02    0.39623E-05
    0.30866E+02    0.37530E-05
    0.31490E+02    0.35546E-05
    0.32126E+02    0.33666E-05
    0.32775E+02    0.31885E-05
    0.33437E+02    0.30197E-05
    0.34112E+02    0.28598E-05
    0.34801E+02    0.27083E-05
    0.35504E+02    0.25648E-05
    0.36222E+02    0.24289E-05
    0.36953E+02    0.23000E-05
    0.37700E+02    0.21780E-05
    0.38462E+02    0.20624E-05
    0.39239E+02    0.19529E-05
    0.40031E+02    0.18492E-05
    0.40840E+02    0.17509E-05
    0.41665E+02    0.16578E-05
    0.42507E+02    0.15696E-05
    0.43365E+02    0.14861E-05
    0.44241E+02    0.14070E-05
    0.45135E+02    0.13321E-05
    0.46047E+02    0.12611E-05
    0.46977E+02    0.11939E-05
    0.47926E+02    0.11303E-05
    0.48894E+02    0.10700E-05
    0.49882E+02    0.10129E-05
    0.50890E+02    0.95880E-06
    0.51918E+02    0.90759E-06
    0.52966E+02    0.85909E-06
    0.54036E+02    0.81317E-06
    0.55128E+02    0.76968E-06
    0.56242E+02    0.72850E-06
    0.57378E+02    0.68950E-06
    0.58537E+02    0.65258E-06
    0.59720E+02    0.61761E-06
    0.60926E+02    0.58451E-06
    0.62157E+02    0.55316E-06
    0.63412E+02    0.52348E-06
    0.64693E+02    0.49538E-06
    0.66000E+02    0.46878E-06
    0.67334E+02    0.44359E-06
    0.68694E+02    0.41974E-06
    0.70082E+02    0.39716E-06
    0.71497E+02    0.37579E-06
    0.72942E+02    0.35556E-06
    0.74415E+02    0.33640E-06
    0.75918E+02    0.31827E-06
    0.77452E+02    0.30111E-06
    0.79017E+02    0.28486E-06
    0.80613E+02    0.26948E-06
    0.82241E+02    0.25492E-06
    0.83903E+02    0.24114E-06
    0.85598E+02    0.22810E-06
    0.87327E+02    0.21575E-06
    0.89091E+02    0.20407E-06
    0.90891E+02    0.19301E-06
    0.92727E+02    0.18255E-06
    0.94600E+02    0.17264E-06
    0.96511E+02    0.16327E-06
    0.98461E+02    0.15440E-06
    0.10045E+03    0.14600E-06
    0.10248E+03    0.13806E-06
    0.10455E+03    0.13054E-06
    0.10666E+03    0.12343E-06
    0.10882E+03    0.11670E-06
    0.11101E+03    0.11033E-06
    0.11326E+03    0.10430E-06
    0.11554E+03    0.98598E-07
    0.11788E+03    0.93203E-07
    0.12026E+03    0.88099E-07
    0.12269E+03    0.83271E-07
    0.12517E+03    0.78702E-07
